Category,Value
farads,Capacitance f
farads,Capacitance farad
farads,Capacitance Farad
farads,Capacitance farads
farads,capacitance farad
micro farads,Capacitance micro f
micro farads,Capacitance microf
micro farads,Capacitance micro farads
micro farads,Capacitance microfarads
micro farads,Capacitance micro farad
micro farads,Capacitance microfarad
pico farads,Capacitance pico farads
pico farads,Capacitance picofarads
pico farads,Capacitance pico farad
pico farads,Capacitance picofarad
pico farads,Capacitance picof
pico farads,Capacitance pico f
micro farads,Capacitance µ farads
micro farads,Capacitance µfarads
micro farads,Capacitance µf
nano farads,Capacitance nf
nano farads,Capacitance n f
nano farads,Capacitance n farad
nano farads,Capacitance n farads
nano farads,Capacitance nano farad
nano farads,Capacitance nanofarad
nano farads,Capacitance nanofarads
nano farads,Capacitance nano farads
milli farads,Capacitance miliif
milli farads,Capacitance milli farads
milli farads,Capacitance millifarads
milli farads,Capacitance milli farad
milli farads,Capacitance millifarad
micro farads,Capacitance 10 µF to 2200 µF
micro farads,Capacitance Cap µF
micro farads,Capacitance Capacitance µF
micro farads,Capacitance 1 µF to 470 µF
micro farads,Capacitance Cap (±20 %) µF
farads,Capacitance Capacitance
micro farads,Capacitance 4.7 ~ 6800µF
micro farads,Capacitance 1 µF to 1500 µF
micro farads,Capacitance 3.3 µF to 6800 µF
micro farads,Capacitance 0.47 µF to 1000 µF
micro farads,Capacitance CR (µF)
micro farads,Capacitance 10 µF to 4700 µF
micro farads,Capacitance Rated capacitance (in µF)
farads,Capacitance CAPACITANCE (C)
micro farads,Capacitance C=Capacitance(µF)
micro farads,Capacitance 1 to 1500µF
pico farads,Capacitance 100 picofarad
pico farads,Capacitance 50 pico farad
pico farads,Capacitance 25 picofarads
pico farads,Capacitance 25 pico farads
pico farads,Capacitance 10 pf
pico farads,Capacitance 10pf
amps,Current a
amps,Current amp
amps,Current amps
amps,Current amperes
milli amps,Current ma
milli amps,Current milliamp
milli amps,Current milliamps
milli amps,Current milliamperes
milli amps,Current m a
milli amps,Current milli amp
milli amps,Current milli amps
milli amps,Current milli amperes
micro amps,Current microa
micro amps,Current microamp
micro amps,Current microamps
micro amps,Current microamperes
micro amps,Current micro a
micro amps,Current micro amp
micro amps,Current micro amps
micro amps,Current micro amperes
amps,Current current
amps,Current ripple current
milli amps,Current ripple current (100KHz) (+105 °C) (mA r.m.s.)
milli amps,Current mA rms
milli amps,Current Max. Ripple Current (mA) +105°C 100KHz
amps,Current Ripple
amps,Current leakage current(max)
amps,Current leakage current
milli amps,Current IR 105 °C (mA)
milli amps,Current IR 125 °C 100 kHz (mA)
amps,Current I
micro amps,Current I=Leakage Current(µA)
ohms,Resistance µ
mega ohms,Resistance mega µ
kilo ohms,Resistance kilo µ
mega ohms,Resistance mµ
kilo ohms,Resistance kµ
ohms,Resistance ohm
ohms,Resistance Ohm
ohms,Resistance ohms
ohms,Resistance impedance
ohms,Resistance resistance
ohms,Resistance Max. Impedance (µ) +20°C 100KHz
ohms,Resistance Max. ESR (µ) 100KHz +20°C
ohms,Resistance z
ohms,Resistance impedance 120Hz
ohms,Resistance ESR 100 kHz µ
ohms,Resistance IMPEDANCE (Z)
ohms,Resistance Z 100 kHz 20 °C (µ)
ohms,Resistance Z 100 kHz -40 °C (µ)
ohms,Resistance impedance Z
ohms,Resistance  Z IMPEDANCE
volts,Voltage v
volts,Voltage V
volts,Voltage volt
volts,Voltage volts
volts,Voltage vdc
volts,Voltage 6.3 V.DC to 50 V.DC
volts,Voltage W.V. (V)
volts,Voltage W.V.
volts,Voltage WV V
volts,Voltage SV Vdc
volts,Voltage WV Vdc
volts,Voltage Working Voltage Vdc
volts,Voltage 6.3 ~ 50Vdc
volts,Voltage 6.3~50vdc
volts,Voltage rated voltage vdc
volts,Voltage 4 V.DC to 50 V.DC
volts,Voltage 6.3 V.DC to 100 V.DC
volts,Voltage 6.3 V.DC to 100 V.DC
volts,Voltage UR V
volts,Voltage 16 V to 100 V
volts,Voltage Rated voltage (in V)
volts,Voltage V=Rated Voltage(Vdc)
micro volts,Voltage micro volts
micro volts,Voltage microvolts
micro volts,Voltage µv
micro volts,Voltage µ v
milli volts,Voltage milli volts
milli volts,Voltage millivolts
kilo volts,Voltage kilo volts
kilo volts,Voltage kilovolts
kilo volts,Voltage kv
kilo volts,Voltage k v